iso3,location_name,region_name,longitude,latitude
USA,United States of America,North America,-98.5795,39.8283
MEX,Mexico,Latin America and Caribbean,-102.5528,23.6345
BRA,Brazil,Latin America and Caribbean,-51.9253,-14.235
COL,Colombia,Latin America and Caribbean,-74.2973,4.5709
PER,Peru,Latin America and Caribbean,-75.0152,-9.19
GBR,United Kingdom,Europe,-3.436,55.3781
FRA,France,Europe,2.2137,46.2276
NGA,Nigeria,Sub-Saharan Africa,8.6753,9.082
ETH,Ethiopia,Sub-Saharan Africa,40.4897,9.145
ZAF,South Africa,Sub-Saharan Africa,22.9375,-30.5595
KEN,Kenya,Sub-Saharan Africa,37.9062,-0.0236
COD,Democratic Republic of the Congo,Sub-Saharan Africa,21.7587,-4.0383
EGY,Egypt,North Africa and Middle East,30.8025,26.8206
TUR,Türkiye,North Africa and Middle East,35.2433,38.9637
IND,India,South Asia,78.9629,20.5937
PAK,Pakistan,South Asia,69.3451,30.3753
BGD,Bangladesh,South Asia,90.3563,23.685
CHN,China,East Asia,104.1954,35.8617
JPN,Japan,High-income Asia Pacific,138.2529,36.2048
IDN,Indonesia,Southeast Asia,113.9213,-0.7893
PHL,Philippines,Southeast Asia,121.774,12.8797
AUS,Australia,Oceania,133.7751,-25.2744
PNG,Papua New Guinea,Oceania,143.9555,-6.315
HTI,Haiti,Latin America and Caribbean,-72.2852,18.9712
